timestamp,spo2_percent,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,94.0,sleep,600,1
2024-11-25 00:10:00,95.75334736086893,sleep,600,1
2024-11-25 00:20:00,97.9881894143154,sleep,600,1
2024-11-25 00:30:00,97.30145584039305,sleep,600,1
2024-11-25 00:40:00,94.0,sleep,600,1
2024-11-25 00:50:00,95.64226022133187,sleep,600,1
2024-11-25 01:00:00,94.5515401060764,sleep,600,1
2024-11-25 01:10:00,95.98703262638111,sleep,600,1
2024-11-25 01:20:00,94.56491420112357,sleep,600,1
2024-11-25 01:30:00,95.203608750638,sleep,600,1
2024-11-25 01:40:00,94.70435935989022,sleep,600,1
2024-11-25 01:54:00,94.0,sleep,600,1
2024-11-25 02:04:00,93.6625942267043,sleep,600,1
2024-11-25 02:14:00,94.54840268633949,sleep,600,1
2024-11-25 02:24:00,90.0,sleep,600,1
2024-11-25 02:39:00,94.0,sleep,600,1
2024-11-25 02:49:00,92.85886705768176,sleep,600,1
2024-11-25 02:59:00,92.43267145154529,sleep,600,1
2024-11-25 03:10:00,94.0,sleep,600,1
2024-11-25 03:20:00,94.53006122633973,sleep,600,1
2024-11-25 03:30:00,94.48816601397958,sleep,600,1
2024-11-25 03:40:00,94.4567125608126,sleep,600,1
2024-11-25 03:50:00,93.38609883535861,sleep,600,1
2024-11-25 04:00:00,93.48664022200708,sleep,600,1
2024-11-25 04:10:00,93.11579712215764,sleep,600,1
2024-11-25 04:28:00,94.0,sleep,600,1
2024-11-25 04:38:00,94.23490164671742,sleep,600,1
2024-11-25 04:48:00,94.75142618312431,sleep,600,1
2024-11-25 04:58:00,94.98645283929116,sleep,600,1
2024-11-25 05:10:00,94.0,sleep,600,1
2024-11-25 05:20:00,93.45800821131138,sleep,600,1
2024-11-25 05:30:00,93.74294142828404,sleep,600,1
2024-11-25 05:47:00,94.0,sleep,600,1
2024-11-25 05:57:00,94.36728880252656,sleep,600,1
2024-11-25 06:07:00,95.64303302258845,sleep,600,1
2024-11-25 06:17:00,95.77333171440836,sleep,600,1
2024-11-25 06:27:00,95.0353926715764,sleep,600,1
